organization_code_iata,organization_code_icao,period_start_date,period_end_date,accounting_period,passenger_load_factor_pct
CM,CMP,2021-01-01,2021-01-31,Month 1,63.4405308831036
CM,CMP,2021-02-01,2021-02-28,Month 2,69.6058233759099
CM,CMP,2021-03-01,2021-03-31,Month 3,74.6442432082794
CM,CMP,2021-04-01,2021-04-30,Month 4,72.8385416666667
CM,CMP,2021-05-01,2021-05-31,Month 5,77.618704294984
CM,CMP,2021-06-01,2021-06-30,Month 6,78.8795240456123
CM,CMP,2021-07-01,2021-07-31,Month 7,78.7859868192855
CM,CMP,2021-08-01,2021-08-31,Month 8,79.5785622332136
CM,CMP,2021-09-01,2021-09-30,Month 9,79.4792018938113
CM,CMP,2021-10-01,2021-10-31,Month 10,82.0028011204482
CM,CMP,2021-11-01,2021-11-30,Month 11,84.5317474620052
P5,RPB,2020-01-01,2020-01-31,Month 1,73.5748602577724
P5,RPB,2020-02-01,2020-02-29,Month 2,76.7088044721128
P5,RPB,2020-03-01,2020-03-31,Month 3,70.4257429379569
OK,CSA,2021-08-01,2021-08-31,Month 8,68.6274631529649
OK,CSA,2021-09-01,2021-09-30,Month 9,57.6343502748738
OK,CSA,2021-10-01,2021-10-31,Month 10,63.3153087430751
OK,CSA,2021-11-01,2021-11-30,Month 11,56.7687289600254
DL,DAL,2020-01-01,2020-01-31,Month 1,81.9542337549569
DL,DAL,2020-02-01,2020-02-29,Month 2,81.8711801100975
DL,DAL,2020-03-01,2020-03-31,Month 3,54.2630481503855
SS,CRL,2020-01-01,2020-01-31,Month 1,80.5772321049558
SS,CRL,2020-02-01,2020-02-29,Month 2,81.6082930756844
SS,CRL,2020-03-01,2020-03-31,Month 3,72.5324982942679
SS,CRL,2020-05-01,2020-05-31,Month 5,14.9529614416324
SS,CRL,2020-06-01,2020-06-30,Month 6,50.9819639278557
SS,CRL,2020-07-01,2020-07-31,Month 7,73.2706005811277
SS,CRL,2020-08-01,2020-08-31,Month 8,74.3670818508792
SS,CRL,2020-09-01,2020-09-30,Month 9,61.1637709805292
SS,CRL,2020-10-01,2020-10-31,Month 10,57.4769659618381
SS,CRL,2020-11-01,2020-11-30,Month 11,45.8731069347332
SS,CRL,2020-12-01,2020-12-31,Month 12,69.5085773544993
SS,CRL,2021-01-01,2021-01-31,Month 1,68.9304474227997
SS,CRL,2021-02-01,2021-02-28,Month 2,41.212269064919
SS,CRL,2021-03-01,2021-03-31,Month 3,36.1459314359964
SS,CRL,2021-04-01,2021-04-30,Month 4,37.9852313157505
SS,CRL,2021-05-01,2021-05-31,Month 5,47.080906390341
SS,CRL,2021-06-01,2021-06-30,Month 6,58.2095205628628
SS,CRL,2021-07-01,2021-07-31,Month 7,74.8634501317703
OK,CSA,2020-01-01,2020-01-31,Month 1,72.3382605644892
OK,CSA,2020-02-01,2020-02-29,Month 2,65.8560060837666
OK,CSA,2020-03-01,2020-03-31,Month 3,52.2968220313607
OK,CSA,2020-04-01,2020-04-30,Month 4,35.6296811353613
OK,CSA,2020-05-01,2020-05-31,Month 5,34.8226629809795
OK,CSA,2020-06-01,2020-06-30,Month 6,49.4326292303867
OK,CSA,2020-07-01,2020-07-31,Month 7,53.1007694829892
OK,CSA,2020-08-01,2020-08-31,Month 8,50.6432613922021
OK,CSA,2020-09-01,2020-09-30,Month 9,46.0801386993033
OK,CSA,2020-10-01,2020-10-31,Month 10,46.9969945350943
OK,CSA,2020-11-01,2020-11-30,Month 11,49.3909127020576
OK,CSA,2020-12-01,2020-12-31,Month 12,47.6530231443834
OK,CSA,2021-01-01,2021-01-31,Month 1,47.5187772311233
OK,CSA,2021-02-01,2021-02-28,Month 2,55.770149021366
OK,CSA,2021-03-01,2021-03-31,Month 3,46.3588998847848
OK,CSA,2021-04-01,2021-04-30,Month 4,51.1583325398459
OK,CSA,2021-05-01,2021-05-31,Month 5,51.7886996239954
OK,CSA,2021-06-01,2021-06-30,Month 6,64.0917453339385
OK,CSA,2021-07-01,2021-07-31,Month 7,58.6552042106981
DL,DAL,2020-04-01,2020-04-30,Month 4,20.1412999311862
DL,DAL,2020-05-01,2020-05-31,Month 5,36.0345747064512
DL,DAL,2020-06-01,2020-06-30,Month 6,46.1814562530334
DL,DAL,2020-07-01,2020-07-31,Month 7,40.2752364947388
DL,DAL,2020-08-01,2020-08-31,Month 8,39.8304821325283
DL,DAL,2020-09-01,2020-09-30,Month 9,41.9071703428852
DL,DAL,2020-10-01,2020-10-31,Month 10,42.4083807286677
DL,DAL,2020-11-01,2020-11-30,Month 11,39.9251703037691
DL,DAL,2020-12-01,2020-12-31,Month 12,41.2108845607933
DL,DAL,2021-01-01,2021-01-31,Month 1,40.1737614096687
DL,DAL,2021-02-01,2021-02-28,Month 2,42.9527513456844
DL,DAL,2021-03-01,2021-03-31,Month 3,49.228068170566
DL,DAL,2021-04-01,2021-04-30,Month 4,52.6223145940123
DL,DAL,2021-05-01,2021-05-31,Month 5,70.9378485647073
DL,DAL,2021-06-01,2021-06-30,Month 6,78.9078528266084
D0,DHK,2020-01-01,2020-01-31,Month 1,0.0
D0,DHK,2020-02-01,2020-02-29,Month 2,0.0
D0,DHK,2020-03-01,2020-03-31,Month 3,0.0
D0,DHK,2020-04-01,2020-04-30,Month 4,0.0
D0,DHK,2020-05-01,2020-05-31,Month 5,0.0
D0,DHK,2020-06-01,2020-06-30,Month 6,0.0
D0,DHK,2020-07-01,2020-07-31,Month 7,0.0
D0,DHK,2020-08-01,2020-08-31,Month 8,0.0
D0,DHK,2020-09-01,2020-09-30,Month 9,0.0
D0,DHK,2020-10-01,2020-10-31,Month 10,0.0
D0,DHK,2020-11-01,2020-11-30,Month 11,0.0
D0,DHK,2020-12-01,2020-12-31,Month 12,0.0
D0,DHK,2021-01-01,2021-01-31,Month 1,0.0
D0,DHK,2021-02-01,2021-02-28,Month 2,0.0
D0,DHK,2021-03-01,2021-03-31,Month 3,0.0
D0,DHK,2021-04-01,2021-04-30,Month 4,0.0
D0,DHK,2021-05-01,2021-05-31,Month 5,0.0
D0,DHK,2021-06-01,2021-06-30,Month 6,0.0
D0,DHK,2021-07-01,2021-07-31,Month 7,0.0
D0,DHK,2021-08-01,2021-08-31,Month 8,0.0
D0,DHK,2021-09-01,2021-09-30,Month 9,0.0
D0,DHK,2021-10-01,2021-10-31,Month 10,0.0
MQ,ENY,2020-01-01,2020-01-31,Month 1,75.6722511528668
MQ,ENY,2020-02-01,2020-02-29,Month 2,78.1624870021144
7Q,MNU,2020-01-01,2020-01-31,Month 1,69.6475397291024
7Q,MNU,2020-02-01,2020-02-29,Month 2,62.5749728716583
7Q,MNU,2020-03-01,2020-03-31,Month 3,60.1428571428571
7Q,MNU,2020-04-01,2020-04-30,Month 4,0.0
7Q,MNU,2020-05-01,2020-05-31,Month 5,49.7980494668451
7Q,MNU,2020-07-01,2020-07-31,Month 7,28.9346672933593
7Q,MNU,2020-08-01,2020-08-31,Month 8,31.9294784580499
7Q,MNU,2020-09-01,2020-09-30,Month 9,37.0300453514739
7Q,MNU,2020-10-01,2020-10-31,Month 10,37.2713340205067
7Q,MNU,2020-11-01,2020-11-30,Month 11,36.9419804645705
7Q,MNU,2020-12-01,2020-12-31,Month 12,37.6109991549113
7Q,MNU,2021-01-01,2021-01-31,Month 1,49.299950959787
7Q,MNU,2021-02-01,2021-02-28,Month 2,43.3068922636319
7Q,MNU,2021-03-01,2021-03-31,Month 3,51.5822805312601
7Q,MNU,2021-04-01,2021-04-30,Month 4,68.5962724578181
