country_iso,date,gdp
RUS,2020-04,-4.485002074
RUS,2020-07,2.7780786
RUS,2020-10,0.739743224
RUS,2021-01,0.680789326
RUS,2021-04,3.190933741
RUS,2021-07,-0.794505895
PRT,2017-01,1.170816047
PRT,2017-04,0.505247849
PRT,2017-07,0.69498999
PRT,2017-10,0.825446682
PRT,2018-01,0.727368109
PRT,2018-04,0.779536523
PRT,2018-07,0.525723942
PRT,2018-10,0.608994992
PRT,2019-01,0.882987755
PRT,2019-04,0.571006817
PRT,2019-07,0.451880731
PRT,2019-10,0.820784598
PRT,2020-01,-4.355487705
PRT,2020-04,-15.119496961
PRT,2020-07,14.588001222
PRT,2020-10,0.370563245
PRT,2021-01,-2.570385739
PRT,2021-04,4.42474298
PRT,2021-07,2.781923432
PRT,2021-10,1.938733959
PRT,2022-01,2.355813626
PRT,2022-04,0.132242585
PRT,2022-07,0.365508715
PRT,2022-10,0.198993603
ITA,2017-01,0.518184601
ITA,2017-04,0.430463389
ITA,2017-07,0.438108742
ITA,2017-10,0.537517214
ITA,2018-01,-0.107547494
ITA,2018-04,0.044690859
ITA,2018-07,0.126191204
ITA,2018-10,0.291912901
ITA,2019-01,0.188370498
ITA,2019-04,0.228368346
ITA,2019-07,0.072463517
ITA,2019-10,-0.832692422
ITA,2020-01,-5.857064531
ITA,2020-04,-12.113348632
ITA,2020-07,14.459447416
ITA,2020-10,-0.786706072
ITA,2021-01,0.266741006
ITA,2021-04,2.469963441
ITA,2021-07,2.790192314
ITA,2021-10,0.903200398
ITA,2022-01,0.129662603
ITA,2022-04,1.148978301
ITA,2022-07,0.507162998
ITA,2022-10,-0.117860337
AUT,2017-01,0.289428748
AUT,2017-04,0.711478395
AUT,2017-07,0.615908004
AUT,2017-10,0.615180329
AUT,2018-01,0.715501887
AUT,2018-04,0.294870339
AUT,2018-07,0.382775862
AUT,2018-10,1.280638558
AUT,2019-01,0.37462302
AUT,2019-04,-0.27880599
AUT,2019-07,0.417883245
AUT,2019-10,-0.476686519
AUT,2020-01,-2.505006332
AUT,2020-04,-11.321361903
AUT,2020-07,11.302099448
AUT,2020-10,-1.922985104
AUT,2021-01,-1.008202895
AUT,2021-04,4.110186512
AUT,2021-07,4.314871365
AUT,2021-10,-1.354653939
AUT,2022-01,1.230730659
AUT,2022-04,1.936702399
AUT,2022-07,0.21430557
AUT,2022-10,-0.683898525
IRL,2017-01,-4.24627815
IRL,2017-04,1.768825097
IRL,2017-07,5.284848269
IRL,2017-10,5.050924749
IRL,2018-01,-0.187586638
IRL,2018-04,2.186192922
IRL,2018-07,0.347118812
IRL,2018-10,0.967337701
IRL,2019-01,1.607940666
IRL,2019-04,1.647226543
IRL,2019-07,1.804044187
IRL,2019-10,1.273235923
IRL,2020-01,2.633602718
IRL,2020-04,-5.583892677
IRL,2020-07,12.894430309
IRL,2020-10,-4.645891554
IRL,2021-01,8.942287682
IRL,2021-04,1.931800848
IRL,2021-07,3.797418637
IRL,2021-10,-1.105441684
