airline_iata,date,load_factor
ME,2017-12,76.8849644715293
ME,2018-01,75.8177137301437
ME,2018-02,77.0824429345219
BJ,2017-02,76.0272952853598
BJ,2017-03,79.4700413223141
BJ,2017-04,83.8652535957608
BJ,2017-05,81.0791366906475
BJ,2017-06,73.5190097259063
BJ,2017-07,79.9471423851999
BJ,2017-08,86.7954911433172
BJ,2017-09,87.143431096826
BJ,2017-10,84.9146110056926
BJ,2017-11,75.6207674943567
BJ,2017-12,73.1891891891892
BJ,2018-01,76.0404949381327
BJ,2018-02,79.5180722891566
BJ,2018-03,82.9394387001477
BJ,2018-04,81.1001642036125
BJ,2018-05,81.073331360071
BJ,2018-06,77.7813712807245
BJ,2018-07,81.7951603826674
BJ,2018-08,86.0218224712474
BJ,2018-09,85.7931034482759
BJ,2018-10,82.0762711864407
BJ,2018-11,73.5885167464115
BJ,2018-12,76.3925729442971
BK,2017-02,0.0
BK,2017-03,0.0
BK,2017-04,0.0
BK,2017-05,0.0
BK,2017-08,0.0
BK,2017-10,0.0
BK,2017-11,0.0
OY,2017-02,56.4009189590292
OY,2017-03,54.4701329625848
OY,2017-04,54.1038797174489
OY,2017-05,55.4679365226356
OY,2017-06,57.995881394888
OY,2017-07,51.1283105716481
OY,2017-08,54.5540659976823
OY,2017-09,48.0396181995922
OY,2017-10,52.0236371116432
OY,2017-11,56.0438997247148
OY,2017-12,58.2193530342678
OY,2018-01,55.1173338872636
OY,2018-02,48.3869345785909
OY,2018-03,47.6105898790185
OY,2018-04,48.2097383419507
OY,2018-05,52.2691700216548
OY,2018-06,54.1155138415542
OY,2018-07,55.274215540917
OY,2018-08,50.4113961469373
OY,2018-09,47.9902811072298
OY,2018-10,53.6988117803655
OY,2018-11,51.4674323100651
OY,2018-12,55.8994087042256
P6,2017-02,54.6093276801938
P6,2017-03,43.7247331364978
P6,2017-04,42.7774077950084
P6,2017-05,42.6178348518545
P6,2017-07,60.8445938425235
P6,2017-08,62.5366262034324
P6,2017-09,52.3630302704447
P6,2017-10,41.8204553294239
P6,2017-11,42.2274354858625
P6,2018-01,25.3341661461586
P6,2018-02,41.4225615456529
P6,2018-03,46.7165419783874
P6,2018-04,48.8470944450914
P6,2018-05,53.0655391120507
P6,2018-06,60.0415413264575
P6,2018-07,62.0015429866435
P6,2018-08,69.1364643648581
P6,2018-09,62.1695053901662
P6,2018-10,39.2490293409348
P6,2018-11,42.1734380689799
P6,2018-12,61.373167884474
JL,2017-02,76.2
JL,2017-03,75.8
JL,2017-04,73.4
JL,2017-05,69.0
JL,2017-06,72.3
JL,2017-07,71.4
JL,2017-08,75.6
JL,2017-09,71.8
JL,2017-10,69.7
JL,2017-11,75.9
JL,2017-12,67.6
JL,2018-01,64.6
ZL,2018-02,60.8674911660777
ZL,2018-03,66.9811320754717
ZL,2018-04,65.5112651646447
ZL,2018-05,63.5811836115326
ZL,2018-06,64.7457627118644
ZL,2018-07,63.6923076923077
ZL,2018-08,64.3465909090909
ZL,2018-09,65.9441063298125
ZL,2018-10,64.4793152639087
ZL,2018-11,67.5480480480481
ZL,2018-12,65.1079136690648
YX,2017-02,66.0212526572998
YX,2017-03,76.9276433677172
YX,2017-04,77.5239028757939
YX,2017-05,77.4907885834202
YX,2017-06,78.7933927429157
YX,2017-07,77.8809564052189
YX,2017-08,75.0668506503758
YX,2017-09,72.8941639832933
YX,2017-10,80.7955998667471
YX,2017-11,80.0966259330441
YX,2017-12,78.735485103971
YX,2018-01,72.1685370460767
YX,2018-02,74.0039154248496
YX,2018-03,81.2370417187938
YX,2018-04,79.5968359988433
YX,2018-05,81.3560436927041
