country_iata,date,gdp,total_cases,total_deaths,stringency_index,reproduction_rate,population,population_density,airline_iata,passenger_load_factor_pct,seats,airline_type
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,0,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,0,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,0,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,2970,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,2673,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,5346,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,1782,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,0,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,2376,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,0,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,2970,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,0,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,5346,Mainline
AU,2020-07,3.855111623,17280,201,68.06,1.2,26177410,3.202,QF,58.26554258,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,607105,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,0,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,236,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,236,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,5346,Mainline
AU,2020-10,3.381809258,27595,907,62.5,0.74,26177410,3.202,QF,54.19915242,2376,Mainline
